FrameNumber,FrametimeMs,ImageIndex,PresentMode
905,4.12761,0,2
906,4.22178,2,2
907,4.0992,1,2
908,4.17893,0,2
909,4.17609,2,2
910,4.20954,1,2
911,4.17098,0,2
912,4.16055,2,2
913,4.10995,1,2
914,4.25546,0,2
915,4.08706,2,2
916,4.21727,1,2
917,4.20967,0,2
918,4.06939,2,2
919,4.16013,1,2
920,4.22465,0,2
921,4.11776,2,2
922,4.17658,1,2
923,4.22096,0,2
924,4.09888,2,2
925,4.22856,1,2
926,4.10803,0,2
927,4.18714,2,2
928,4.14537,1,2
929,4.17029,0,2
930,4.22547,2,2
931,4.10123,1,2
932,4.15413,0,2
933,4.19222,2,2
934,4.21193,1,2
935,4.11802,0,2
936,4.23552,2,2
937,4.08062,1,2
938,4.17164,0,2
939,4.17978,2,2
940,4.15925,1,2
941,4.23867,0,2
942,4.09803,2,2
943,4.22408,1,2
944,4.09222,0,2
945,4.17177,2,2
946,4.22076,1,2
947,4.1843,0,2
948,4.08607,2,2
949,4.18022,1,2
950,4.2123,0,2
951,4.13652,2,2
952,4.23051,1,2
953,4.1574,0,2
954,4.17817,2,2
955,5.80436,1,2
956,2.4285,0,2
957,4.19686,2,2
958,4.21988,1,2
959,4.17904,0,2
960,4.17477,2,2
961,4.12885,1,2
962,4.20355,0,2
963,4.14152,2,2
964,4.19981,1,2
965,4.16022,0,2
966,4.16712,2,2
967,4.14202,1,2
968,4.15677,0,2
969,4.17354,2,2
970,4.16518,1,2
971,4.18257,0,2
972,4.18044,2,2
973,4.09794,1,2
974,4.16101,0,2
975,4.18205,2,2
976,4.15542,1,2
977,4.22307,0,2
978,4.18156,2,2
979,4.0979,1,2
980,4.1685,0,2
981,4.1564,2,2
982,4.18606,1,2
983,4.14451,0,2
984,4.18912,2,2
985,4.15088,1,2
986,4.16866,0,2
987,4.16873,2,2
988,4.21341,1,2
989,4.12637,0,2
990,4.2202,2,2
991,4.10386,1,2
992,4.16205,0,2
993,4.17484,2,2
994,4.16151,1,2
995,4.25409,0,2
996,4.08209,2,2
997,4.18037,1,2
998,4.20399,0,2
999,4.13135,2,2
1000,4.16319,1,2
1001,4.17199,0,2
1002,4.14931,2,2
1003,4.17073,1,2
1004,4.16861,0,2
1005,4.16086,2,2
1006,4.156,1,2
1007,4.23541,0,2
1008,4.14788,2,2
1009,4.1147,1,2
1010,4.17525,0,2
1011,4.23068,2,2
1012,4.19931,1,2
1013,4.15767,0,2
1014,4.09162,2,2
1015,4.1689,1,2
1016,4.15709,0,2
1017,4.17694,2,2
1018,4.20595,1,2
1019,4.1323,0,2
1020,4.15969,2,2
1021,4.17437,1,2
1022,4.15023,0,2
1023,4.19226,2,2
1024,4.19868,1,2
1025,4.18552,0,2
1026,4.09784,2,2
1027,4.22263,1,2
1028,4.10811,0,2
1029,4.18646,2,2
1030,4.1447,1,2
1031,4.18089,0,2
1032,4.2216,2,2
1033,4.09409,1,2
1034,4.17679,0,2
1035,4.17161,2,2
1036,4.20459,1,2
1037,4.18548,0,2
1038,4.15025,2,2
1039,4.11872,1,2
1040,4.16661,0,2
1041,4.16667,2,2
1042,4.2207,1,2
1043,4.1813,0,2
1044,4.09239,2,2
1045,4.17183,1,2
1046,4.1698,0,2
1047,4.17959,2,2
1048,4.14412,1,2
1049,4.17905,0,2
1050,4.17618,2,2
1051,4.22728,1,2
1052,4.09374,0,2
1053,4.17231,2,2
1054,4.16049,1,2
1055,4.18405,0,2
1056,4.16263,2,2
1057,4.15385,1,2
1058,4.16104,0,2
1059,4.18594,2,2
1060,4.21427,1,2
1061,4.11048,0,2
1062,4.16241,2,2
1063,4.15848,1,2
1064,4.16458,0,2
1065,4.1878,2,2
1066,4.20858,1,2
1067,4.11317,0,2
1068,4.1684,2,2
1069,4.15986,1,2
1070,4.16885,0,2
1071,4.16972,2,2
1072,4.16605,1,2
1073,4.24979,0,2
1074,4.09521,2,2
1075,4.16293,1,2
1076,4.16075,0,2
1077,4.18975,2,2
1078,4.17503,1,2
1079,4.15817,0,2
1080,4.15943,2,2
1081,4.2128,1,2
1082,4.11773,0,2
1083,4.16054,2,2
1084,4.25124,1,2
1085,4.12491,0,2
1086,4.17708,2,2
1087,4.1717,1,2
1088,4.10395,0,2
1089,4.18423,2,2
1090,4.14476,1,2
1091,4.18601,0,2
1092,4.21584,2,2
1093,4.09629,1,2
1094,4.16722,0,2
1095,4.16611,2,2
1096,4.21964,1,2
1097,4.13731,0,2
1098,4.16185,2,2
1099,4.16549,1,2
1100,4.16228,0,2
1101,4.17427,2,2
1102,4.16126,1,2
1103,4.17,0,2
1104,4.22974,2,2
1105,4.15481,1,2
1106,4.11351,0,2
1107,4.16219,2,2
1108,4.2205,1,2
1109,4.16865,0,2
1110,4.16907,2,2
1111,4.12688,1,2
1112,4.15716,0,2
1113,4.17025,2,2
1114,4.17442,1,2
1115,4.16462,0,2
1116,4.15987,2,2
1117,4.16026,1,2
1118,4.17681,0,2
1119,4.16819,2,2
1120,4.16777,1,2
1121,4.2281,0,2
1122,4.16742,2,2
1123,4.10454,1,2
1124,4.19332,0,2
1125,4.20914,2,2
1126,4.14511,1,2
1127,4.18737,0,2
1128,4.14062,2,2
1129,4.11202,1,2
1130,4.16717,0,2
1131,4.22644,2,2
1132,4.16826,1,2
1133,4.11997,0,2
1134,4.16915,2,2
1135,4.15467,1,2
